date_entree,date_sortie,jours,prob_entree,ret_vu,ret_mkt,alpha,max_drawdown,threshold
2022-01-03,2022-03-28,60,0.8066,0.1341,0.1766,-0.0425,-0.1797,0.6
2022-03-29,2022-06-23,60,0.6417,-0.1717,-0.0746,-0.0971,-0.2122,0.6
2022-07-07,2022-09-29,60,0.6693,0.0977,0.1568,-0.0591,-0.1878,0.6
2022-10-11,2023-01-04,60,0.6183,0.2097,0.2815,-0.0718,-0.162,0.6
2023-01-05,2023-03-30,60,0.8318,-0.02,-0.0732,0.0532,-0.1919,0.6
2023-03-31,2023-06-28,60,0.7476,-0.202,0.3725,-0.5745,-0.5963,0.6
2023-06-29,2023-09-21,60,0.7717,0.1841,0.2355,-0.0514,-0.2305,0.6
2023-09-22,2023-12-15,60,0.6655,0.0504,-0.0474,0.0978,-0.2609,0.6
2024-01-08,2024-04-03,60,0.6185,0.1509,0.135,0.0159,-0.2038,0.6
2024-04-19,2024-07-15,60,0.642,0.1309,0.0733,0.0576,-0.2313,0.6
2024-07-17,2024-10-09,60,0.6042,0.045,0.0544,-0.0094,-0.1015,0.6
2025-01-09,2025-04-03,60,0.7558,0.0838,0.2453,-0.1615,-0.1037,0.6
2025-04-04,2025-07-02,60,0.8454,0.4266,0.4066,0.02,-0.1437,0.6
2025-07-03,2025-09-25,60,0.9735,0.0167,-0.0725,0.0892,-0.2251,0.6
2025-09-26,2025-12-19,60,0.8565,-0.2162,-0.1466,-0.0696,-0.2322,0.6
2025-12-22,2026-02-12,35,0.8362,-0.385,-0.3199,-0.0651,-0.4062,0.6
2022-01-03,2022-03-28,60,0.8066,0.1341,0.1766,-0.0425,-0.1797,0.65
2022-03-31,2022-06-27,60,0.6942,-0.1543,-0.0894,-0.0649,-0.2122,0.65
2022-07-07,2022-09-29,60,0.6693,0.0977,0.1568,-0.0591,-0.1878,0.65
2022-12-14,2023-03-09,60,0.7148,-0.1638,-0.0658,-0.098,-0.1638,0.65
2023-03-10,2023-06-07,60,0.7213,0.556,0.4312,0.1247,-0.1253,0.65
2023-06-23,2023-09-15,60,0.8182,0.7557,0.131,0.6247,-0.2305,0.65
2023-09-22,2023-12-15,60,0.6655,0.0504,-0.0474,0.0978,-0.2609,0.65
2024-01-11,2024-04-08,60,0.6503,0.2418,0.1987,0.0431,-0.2038,0.65
2024-04-22,2024-07-16,60,0.7994,0.1638,0.0935,0.0703,-0.2313,0.65
2024-08-02,2024-10-25,60,0.6743,0.1232,0.0284,0.0948,-0.1186,0.65
2025-01-09,2025-04-03,60,0.7558,0.0838,0.2453,-0.1615,-0.1037,0.65
2025-04-04,2025-07-02,60,0.8454,0.4266,0.4066,0.02,-0.1437,0.65
2025-07-03,2025-09-25,60,0.9735,0.0167,-0.0725,0.0892,-0.2251,0.65
2025-09-26,2025-12-19,60,0.8565,-0.2162,-0.1466,-0.0696,-0.2322,0.65
2025-12-22,2026-02-12,35,0.8362,-0.385,-0.3199,-0.0651,-0.4062,0.65
2022-01-03,2022-03-28,60,0.8066,0.1341,0.1766,-0.0425,-0.1797,0.7
2022-04-01,2022-06-28,60,0.7032,-0.1162,-0.0926,-0.0236,-0.2028,0.7
2022-07-12,2022-10-04,60,0.7224,0.1622,0.1225,0.0397,-0.1878,0.7
2022-12-14,2023-03-09,60,0.7148,-0.1638,-0.0658,-0.098,-0.1638,0.7
2023-03-10,2023-06-07,60,0.7213,0.556,0.4312,0.1247,-0.1253,0.7
2023-06-23,2023-09-15,60,0.8182,0.7557,0.131,0.6247,-0.2305,0.7
2023-09-25,2023-12-18,60,0.7441,0.0736,-0.0364,0.1099,-0.257,0.7
2024-01-12,2024-04-09,60,0.7894,0.2246,0.2012,0.0234,-0.2038,0.7
2024-04-22,2024-07-16,60,0.7994,0.1638,0.0935,0.0703,-0.2313,0.7
2025-01-09,2025-04-03,60,0.7558,0.0838,0.2453,-0.1615,-0.1037,0.7
2025-04-04,2025-07-02,60,0.8454,0.4266,0.4066,0.02,-0.1437,0.7
2025-07-03,2025-09-25,60,0.9735,0.0167,-0.0725,0.0892,-0.2251,0.7
2025-09-26,2025-12-19,60,0.8565,-0.2162,-0.1466,-0.0696,-0.2322,0.7
2025-12-22,2026-02-12,35,0.8362,-0.385,-0.3199,-0.0651,-0.4062,0.7
